team,Opponent,local,visitante,empate,Date
Ecuador,Qatar,108.846153846154,259.153846153846,232.076923076923,2022-11-20
England,Iran,-330.833333333333,1077.5,393.333333333333,2022-11-21
Netherlands,Senegal,-161,466.923076923077,271.923076923077,2022-11-21
USA,Wales,150.769230769231,198.076923076923,205.923076923077,2022-11-21
Argentina,Saudi Arabia,-599.923076923077,1655.76923076923,572.307692307692,2022-11-22
Denmark,Tunisia,-225.384615384615,691.923076923077,310.384615384615,2022-11-22
Mexico,Poland,167.615384615385,170.384615384615,211.153846153846,2022-11-22
Australia,France,1205,-445.384615384615,501.923076923077,2022-11-22
Croatia,Morocco,-118.692307692308,367.692307692308,226.769230769231,2022-11-23
Germany,Japan,-257.25,671.25,374.166666666667,2022-11-23
Costa Rica,Spain,1429.16666666667,-508.833333333333,527.083333333333,2022-11-23
Belgium,Canada,-295.916666666667,780.416666666667,396.25,2022-11-23
Cameroon,Switzerland,406.818181818182,-130.090909090909,233.454545454546,2022-11-24
South Korea,Uruguay,375,-124.181818181818,233.181818181818,2022-11-24
Ghana,Portugal,711.666666666667,-228.916666666667,308.75,2022-11-24
Brazil,Serbia,-225.083333333333,611.25,337.75,2022-11-24
Iran,Wales,257.857142857143,115,208.714285714286,2022-11-25
Qatar,Senegal,273.333333333333,70,227.166666666667,2022-11-25
Ecuador,Netherlands,410.714285714286,-156.142857142857,285.714285714286,2022-11-25
England,USA,-144,420,259.285714285714,2022-11-25
Australia,Tunisia,159.571428571429,193.571428571429,195.428571428571,2022-11-26
Poland,Saudi Arabia,-158.714285714286,447.142857142857,271.428571428571,2022-11-26
Denmark,France,306.666666666667,-107.833333333333,230.5,2022-11-26
Argentina,Mexico,-170.714285714286,487.857142857143,273.571428571429,2022-11-26
Costa Rica,Japan,325.714285714286,-113,229.857142857143,2022-11-27
Belgium,Morocco,-189.428571428571,505,303.571428571429,2022-11-27
Canada,Croatia,346.428571428571,-124.714285714286,253.571428571429,2022-11-27
Germany,Spain,177.285714285714,150.571428571429,225.571428571429,2022-11-27
Cameroon,Serbia,309.166666666667,-73.1666666666667,226.166666666667,2022-11-28
Ghana,South Korea,195.166666666667,158.666666666667,192,2022-11-28
Brazil,Switzerland,-208.428571428571,547.142857142857,310,2022-11-28
Portugal,Uruguay,105.571428571429,270,223.714285714286,2022-11-28
Ecuador,Senegal,185.666666666667,140.833333333333,199.833333333333,2022-11-29
Netherlands,Qatar,-331.333333333333,603.333333333333,403.333333333333,2022-11-29
England,Wales,-177.666666666667,462.5,274.166666666667,2022-11-29
Iran,USA,180.833333333333,114,216.166666666667,2022-11-29
Australia,Denmark,506,-172.8,244,2022-11-30
France,Tunisia,-444.333333333333,1001.66666666667,442.5,2022-11-30
Argentina,Poland,-150.666666666667,361.666666666667,286.666666666667,2022-11-30
Mexico,Saudi Arabia,-192.5,349.166666666667,-1415,2022-11-30
Belgium,Croatia,-110.166666666667,181.166666666667,-1455,2022-12-01
Canada,Morocco,-1823,-900.8,-1822,2022-12-01
Costa Rica,Germany,-921.666666666667,-364.833333333333,409.166666666667,2022-12-01
Japan,Spain,-990,-338.333333333333,-1299.16666666667,2022-12-01
Ghana,Uruguay,-1710,-132,-1797,2022-12-02
Portugal,South Korea,-283.2,-1390,108.2,2022-12-02
Brazil,Cameroon,-312.166666666667,-1036.66666666667,-1323.33333333333,2022-12-02
Serbia,Switzerland,-1864,-1879.2,-1814.4,2022-12-02
