team,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,PK,SoTA,Saves,Save%,CS,PKA,PKsv,PKm,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,xG.x,xGA,FK,xG.y,npxG,npxG/Sh,G-xG,np:G-xG,PSxG,PSxG+/-,Cmp,Att,Cmp%,Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Recov,Won,Lost,Won%
Ecuador,2011-10-07,16:05,WCQ,WCQ — CONMEBOL (M),Fri,Home,W,2,0,ve Venezuela,,"32,278",Walter Ayoví,3-4-3,Enrique Osses,Match Report,,2,"","","","","","",0,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2011-11-11,21:00,WCQ,WCQ — CONMEBOL (M),Fri,Away,L,1,2,py Paraguay,,"11,173",Máximo Banguera,"",Hernando Buitrago,Match Report,,1,"","","","","","",0,"","","",0,0,0,0,5,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2011-11-15,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Home,W,2,0,pe Peru,,"34,481",Walter Ayoví,"",Jorge Larrionda,Match Report,,2,"","","","","","",0,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2012-06-02,19:30,WCQ,WCQ — CONMEBOL (M),Sat,Away,L,0,4,ar Argentina,,"50,000",Antonio Valencia,"",Víctor Rivera,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2012-06-10,16:00,WCQ,WCQ — CONMEBOL (M),Sun,Home,W,1,0,co Colombia,,"37,353",Alexander Domínguez,"",Wilson Seneme,Match Report,,1,"","","","","","",0,"","","",1,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2012-09-07,16:00,WCQ,WCQ — CONMEBOL (M),Fri,Home,W,1,0,bo Bolivia,,"32,213",Walter Ayoví,"",Juan Soto,Match Report,,1,"","","","","","",1,"","","",1,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2012-09-11,18:30,WCQ,WCQ — CONMEBOL (M),Tue,Away,D,1,1,uy Uruguay,,"38,000","","","",Match Report,,"","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2012-10-12,16:00,WCQ,WCQ — CONMEBOL (M),Fri,Home,W,3,1,cl Chile,,"32,600","","","",Match Report,,"","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2012-10-16,17:30,WCQ,WCQ — CONMEBOL (M),Tue,Away,D,1,1,ve Venezuela,,"35,076","","","",Match Report,,"","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2013-03-26,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Home,W,4,1,py Paraguay,,"33,048","","","",Match Report,,"","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2013-06-07,21:10,WCQ,WCQ — CONMEBOL (M),Fri,Away,L,0,1,pe Peru,,"37,000",Walter Ayoví,"",Henrique Marcelo de Lima,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,4,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2013-06-11,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Home,D,1,1,ar Argentina,,"35,000",Walter Ayoví,"",Enrique Cáceres,Match Report,,1,"","","","","","",0,"","","",0,1,0,0,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2013-09-06,17:00,WCQ,WCQ — CONMEBOL (M),Fri,Away,L,0,1,co Colombia,,"46,000","","","",Match Report,,"","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2013-09-10,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Away,D,1,1,bo Bolivia,,"12,043",Antonio Valencia,"",Paulo César de Oliveira,Match Report,,1,"","","","","","",1,"","","",0,0,0,0,0,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2013-10-11,16:00,WCQ,WCQ — CONMEBOL (M),Fri,Home,W,1,0,uy Uruguay,,"32,996",Antonio Valencia,"",Sandro Ricci,Match Report,,1,"","","","","","",0,"","","",1,0,0,0,0,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2013-10-15,20:30,WCQ,WCQ — CONMEBOL (M),Tue,Away,L,1,2,cl Chile,,"47,458",Walter Ayoví,"",Leandro Pedro Vuaden,Match Report,,1,"","","","","","",0,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2014-03-05,20:00,Friendlies (M),Friendlies (M),Wed,Neutral,W,4,3,au Australia,,"7,133",Antonio Valencia,4-2-2-2,Lee Probert,Match Report,,4,"","","","","","",1,"","","",0,1,0,0,0,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2014-05-17,20:30,Friendlies (M),Friendlies (M),Sat,Away,D,1,1,nl Netherlands,,"50,000","","",Pavel Královec,Match Report,,1,"","","","","","",0,"","","",0,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2014-05-31,14:00,Friendlies (M),Friendlies (M),Sat,Away,L,1,3,mx Mexico,,"","","","",Match Report,,"","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2014-06-04,15:00,Friendlies (M),Friendlies (M),Wed,Neutral,D,2,2,eng England,,"21,534",Antonio Valencia,4-2-2-2,Jair Marrufo,Match Report,,2,"","","","","","",0,"","","",0,0,0,0,0,1,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2014-06-15,13:00,FIFA World Cup,Group stage,Sun,Neutral,L,1,2,ch Switzerland,44,"68,351","","",Ravshan Irmatov,Match Report,,1,"","","","","","",0,12,"",83.3,0,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2014-06-20,19:00,FIFA World Cup,Group stage,Fri,Neutral,W,2,1,hn Honduras,51,"39,224","","",Benjamin Williams,Match Report,,2,"","","","","","",0,9,"",88.9,0,0,0,0,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2014-06-25,17:00,FIFA World Cup,Group stage,Wed,Neutral,D,0,0,fr France,40,"73,749","","",Noumandiez Doué,Match Report,,0,"","","","","","",0,13,"",100.0,1,0,0,0,1,1,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2014-09-06,20:00,Friendlies (M),Friendlies (M),Sat,Away,W,4,0,bo Bolivia,,"","","","",Match Report,,"","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2014-09-09,21:00,Friendlies (M),Friendlies (M),Tue,Away,L,0,1,br Brazil,,"35,975",Walter Ayoví,4-2-3-1,Edvin Jurisevic,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2014-10-10,19:00,Friendlies (M),Friendlies (M),Fri,Away,D,1,1,us United States,,"36,265",Walter Ayoví,4-2-3-1,Roberto Moreno,Match Report,,1,"","","","","","",0,"","","",0,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2014-10-14,17:00,Friendlies (M),Friendlies (M),Tue,Away,W,5,1,sv El Salvador,,"","","","",Match Report,,"","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2015-03-28,18:30,Friendlies (M),Friendlies (M),Sat,Away,L,0,1,mx Mexico,,"90,000","",,Christopher Reid,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2015-03-31,20:00,Friendlies (M),Friendlies (M),Tue,Away,L,1,2,ar Argentina,,"48,000","",,Javier Santos,Match Report,,1,"","","","","","",0,"","","",0,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2015-06-03,20:30,Friendlies (M),Friendlies (M),Wed,Away,D,1,1,pa Panama,,"10,000","",,Paul Delgadillo,Match Report,,1,"","","","","","",0,"","","",0,1,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2015-06-06,16:00,Friendlies (M),Friendlies (M),Sat,Home,W,4,0,pa Panama,,"","",,Henry Gambetta,Match Report,,4,"","","","","","",0,"","","",1,0,0,0,4,1,1,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2015-06-11,20:30,Copa América,Group stage,Thu,Neutral,L,0,2,cl Chile,37,"46,000",Walter Ayoví,,Néstor Pitana,Match Report,,0,7,1,14.3,0.00,0.00,"",0,3,2,66.7,0,1,0,0,2,0,0,16,13,3,12,12,9,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
