team,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Attendance,Captain,Referee,qatar
Argentina,2020-10-08,21:30,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,1,0,Ecuador,"",Lionel Messi,Roberto Tobar,FALSE
Argentina,2020-10-13,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Away,W,2,1,Bolivia,"",Lionel Messi,Diego Haro,FALSE
Argentina,2020-11-12,21:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,D,1,1,Paraguay,"",Lionel Messi,Raphael Claus,FALSE
Argentina,2020-11-17,19:30,WCQ,WCQ — CONMEBOL (M),Tue,Away,W,2,0,Peru,"",Lionel Messi,Wilmar Roldán,FALSE
Argentina,2021-06-03,21:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,D,1,1,Chile,"",Lionel Messi,Jesús Valenzuela,FALSE
Argentina,2021-06-08,18:00,WCQ,WCQ — CONMEBOL (M),Tue,Away,D,2,2,Colombia,"",Lionel Messi,Roberto Tobar,FALSE
Argentina,2021-09-02,20:00,WCQ,WCQ — CONMEBOL (M),Thu,Away,W,3,1,Venezuela,"",Lionel Messi,Leodán González,FALSE
Argentina,2021-09-05,16:00,WCQ,WCQ — CONMEBOL (M),Sun,Away,"",0,0,Brazil,"",Lionel Messi,Jesús Valenzuela,FALSE
Argentina,2021-09-09,20:30,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,3,0,Bolivia,"",Lionel Messi,Kevin Ortega,FALSE
Argentina,2021-10-07,20:00,WCQ,WCQ — CONMEBOL (M),Thu,Away,D,0,0,Paraguay,"",Lionel Messi,Anderson Daronco,FALSE
Argentina,2021-10-10,20:30,WCQ,WCQ — CONMEBOL (M),Sun,Home,W,3,0,Uruguay,"",Lionel Messi,Roberto Tobar,FALSE
Argentina,2021-10-14,20:30,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,1,0,Peru,"",Lionel Messi,Wilton Pereira Sampaio,FALSE
Argentina,2021-11-12,20:00,WCQ,WCQ — CONMEBOL (M),Fri,Away,W,1,0,Uruguay,"",Ángel Di María,Alexis Herrera,FALSE
Argentina,2021-11-16,20:30,WCQ,WCQ — CONMEBOL (M),Tue,Home,D,0,0,Brazil,"",Lionel Messi,Andrés Cunha,FALSE
Argentina,2022-01-27,21:15,WCQ,WCQ — CONMEBOL (M),Thu,Away,W,2,1,Chile,"",Ángel Di María,Anderson Daronco,FALSE
Argentina,2022-02-01,20:30,WCQ,WCQ — CONMEBOL (M),Tue,Home,W,1,0,Colombia,"",Ángel Di María,Raphael Claus,FALSE
Argentina,2022-03-25,20:30,WCQ,WCQ — CONMEBOL (M),Fri,Home,W,3,0,Venezuela,"",Lionel Messi,Kevin Ortega,FALSE
Argentina,2022-03-29,18:30,WCQ,WCQ — CONMEBOL (M),Tue,Away,D,1,1,Ecuador,"",Lionel Messi,Raphael Claus,FALSE
Argentina,2022-06-05,20:00,Friendlies (M),Friendlies (M),Sun,Neutral,W,5,0,Estonia,"18,332",Lionel Messi,Urs Schnyder,FALSE
Argentina,2022-09-23,20:00,Friendlies (M),Friendlies (M),Fri,Home,W,3,0,Honduras,"64,420",Lionel Messi,Rubiel Vázquez,FALSE
Argentina,2022-09-27,20:00,Friendlies (M),Friendlies (M),Tue,Neutral,W,3,0,Jamaica,"",Ángel Di María,Marco Ortíz,FALSE
Argentina,2022-11-16,19:30,Friendlies (M),Friendlies (M),Wed,Away,"",2,0,UAE,"",Lionel Messi,Ibrahim Nour El Din,FALSE
Australia,2019-09-10,18:30,WCQ,Second round,Tue,Away,W,3,0,Kuwait,"11,852",Mathew Leckie,Taqi Aljaafari Jahari,FALSE
Australia,2019-10-10,20:00,WCQ,Second round,Thu,Home,W,5,0,Nepal,"18,563",Mark Milligan,Thoriq Munir Alkatiri,FALSE
Australia,2019-10-15,19:40,WCQ,Second round,Tue,Away,W,7,1,Chinese Taipei,"3,251",Mathew Ryan,Mongkolchai Pechsri,FALSE
Australia,2019-11-14,18:00,WCQ,Second round,Thu,Away,W,1,0,Jordan,"9,712",Mathew Ryan,Fu Ming,FALSE
Australia,2021-06-03,22:00,WCQ,Second round,Thu,Home,W,3,0,Kuwait,"",Mathew Leckie,Jumpei Iida,FALSE
Australia,2021-06-07,22:00,WCQ,Second round,Mon,Home,W,5,1,Chinese Taipei,"",Trent Sainsbury,Saoud Ali Al Adba,FALSE
Australia,2021-06-11,19:00,WCQ,Second round,Fri,Away,W,3,0,Nepal,"",Mathew Leckie,Ahmed Al Kaf,FALSE
