date,team,opponent,GF,GA,magic_johnson_team,magic_johnson_opponent,pre_rating_team,pre_rating_opponent,did_score_team,fail_to_score_team,did_receive_goal_team,not_receive_goal_team,GF_last_5_team,GA_last_5_team,qatar,rating_team,did_score_opponent,fail_to_score_opponent,did_receive_goal_opponent,not_receive_goal_opponent,GF_last_5_opponent,GA_last_5_opponent,rating_opponent
2022-06-14,Afghanistan,Cambodia,2,2,0.817937631058116,0.182062368941884,1108,847,4,1,4,1,4,7,FALSE,1089,2,3,4,1,5,10,860
2021-11-16,Afghanistan,Indonesia,1,0,0.508633835821083,0.491366164178917,1132,1126,5,0,5,0,7,7,FALSE,1142,3,2,4,1,7,12,1116
2021-06-15,Afghanistan,India,1,1,0.400603203290743,0.599396796709257,1128,1198,5,0,5,0,8,8,FALSE,1132,2,3,3,2,3,8,1194
2021-06-03,Afghanistan,Bangladesh,1,1,0.853394622111882,0.146605377888118,1146,840,3,2,4,1,6,7,FALSE,1132,2,3,2,3,3,7,854
2021-05-29,Afghanistan,Singapore,1,1,0.593855385236178,0.406144614763822,1146,1080,3,2,4,1,7,7,FALSE,1146,3,2,4,1,9,6,1159
2021-05-25,Afghanistan,Indonesia,3,2,0.428536882591619,0.571463117408381,1149,1199,2,3,3,2,4,5,FALSE,1146,3,2,4,1,6,7,1108
2018-12-28,Afghanistan,Turkmenistan,2,2,0.355966146177707,0.644033853822293,1146,1249,2,3,3,2,5,6,FALSE,1149,4,1,4,1,7,7,1246
2018-08-19,Afghanistan,Palestine,0,0,0.218884597270038,0.781115402729962,1155,1376,3,2,4,1,6,10,FALSE,1158,0,5,3,2,0,6,1373
2022-11-19,Albania,Armenia,2,0,0.606287823785428,0.393712176214572,1535,1460,4,1,5,0,4,8,FALSE,1559,3,2,5,0,5,17,1436
2022-11-16,Albania,Italy,1,3,0.0679135152972565,0.932086484702744,1538,1993,3,2,4,1,3,5,FALSE,1535,4,1,2,3,7,6,1996
2022-10-26,Albania,Saudi Arabia,1,1,0.361262250888275,0.638737749111725,1541,1640,4,1,4,1,4,6,FALSE,1544,1,4,2,3,1,2,1637
2022-09-27,Albania,Iceland,1,1,0.478426666948855,0.521573333051146,1546,1561,3,2,3,2,3,5,FALSE,1541,5,0,3,2,7,5,1566
2022-06-13,Albania,Estonia,0,0,0.711722524342755,0.288277475657245,1562,1405,4,1,3,2,4,5,FALSE,1556,2,3,3,2,4,8,1411
2022-06-10,Albania,Israel,1,2,0.456933507977788,0.543066492022212,1586,1616,3,2,3,2,3,8,FALSE,1562,4,1,5,0,9,12,1640
2022-03-29,Albania,Georgia,0,0,0.531618297828107,0.468381702171893,1585,1563,3,2,3,2,3,8,FALSE,1582,4,1,2,3,6,3,1566
2021-11-15,Albania,Andorra,1,0,0.954323218960338,0.0456767810396624,1585,1057,3,2,2,3,7,6,FALSE,1586,3,2,4,1,5,15,1056
2021-10-12,Albania,Poland,0,1,0.263005239459311,0.736994760540689,1604,1783,5,0,2,3,9,7,FALSE,1588,5,0,4,1,19,6,1799
2021-09-08,Albania,San Marino,5,0,0.987062667899923,0.0129373321000772,1571,818,4,1,2,3,5,7,FALSE,1572,2,3,5,0,2,22,817
2021-09-05,Albania,Hungary,1,0,0.252000458803946,0.747999541196054,1546,1735,3,2,3,2,4,9,FALSE,1571,2,3,4,1,3,10,1710
2021-03-28,Albania,England,0,2,0.0894919159507723,0.910508084049228,1559,1962,4,1,3,2,9,4,FALSE,1550,3,2,2,3,12,3,1971
2020-11-18,Albania,Belarus,3,2,0.547348518045865,0.452651481954135,1543,1510,2,3,3,2,5,3,FALSE,1556,4,1,3,2,9,8,1497
2020-11-15,Albania,Kazakhstan,3,1,0.716423694102939,0.283576305897061,1532,1371,2,3,2,3,4,2,FALSE,1543,2,3,2,3,3,4,1360
2020-11-11,Albania,Kosovo,2,1,0.533051393884441,0.466948606115559,1525,1502,2,3,1,4,3,1,FALSE,1532,3,2,4,1,3,6,1495
2020-09-07,Albania,Lithuania,0,1,0.836830966002895,0.163169033997105,1569,1285,2,3,2,3,3,6,FALSE,1533,3,2,5,0,3,15,1321
2018-11-20,Albania,Wales,1,0,0.170367176568657,0.829632823431343,1500,1775,1,4,3,2,1,8,FALSE,1515,4,1,4,1,7,9,1760
2018-11-17,Albania,Scotland,0,4,0.296614996528171,0.703385003471829,1532,1682,2,3,3,2,2,8,FALSE,1500,3,2,4,1,4,10,1714
2018-10-10,Albania,Jordan,0,0,0.638737749111725,0.361262250888275,1560,1461,2,3,4,1,2,10,FALSE,1555,3,2,2,3,5,2,1466
2018-09-07,Albania,Israel,1,0,0.548774335859742,0.451225664140258,1560,1526,2,3,5,0,4,11,FALSE,1573,2,3,4,1,2,5,1513
2022-11-16,Algeria,Mali,1,1,0.649294947110963,0.350705052889036,1722,1615,5,0,2,3,9,2,FALSE,1717,3,2,1,4,8,1,1624
2022-09-27,Algeria,Nigeria,2,1,0.602158093174717,0.397841906825283,1717,1645,5,0,2,3,8,3,FALSE,1722,4,1,4,1,14,5,1640
2022-09-23,Algeria,Guinea,1,0,0.864547005411304,0.135452994588696,1715,1393,5,0,2,3,8,3,FALSE,1717,2,3,3,2,2,4,1391
2022-06-12,Algeria,IR Iran,2,1,0.336425901958705,0.663574098041296,1702,1820,5,0,2,3,7,5,FALSE,1715,4,1,1,4,7,2,1807
2022-06-04,Algeria,Uganda,2,0,0.810095158604757,0.189904841395243,1685,1433,3,2,3,2,3,6,FALSE,1692,4,1,5,0,7,11,1426
2022-03-29,Algeria,Cameroon,1,2,0.660999091246358,0.339000908753642,1716,1600,3,2,2,3,5,4,FALSE,1685,3,2,3,2,7,5,1631
2022-01-11,Algeria,Sierra Leone,0,0,0.937689793726165,0.062310206273835,1810,1339,5,0,3,2,10,4,FALSE,1788,3,2,3,2,4,4,1361
2022-01-05,Algeria,Ghana,3,0,0.756580594295053,0.243419405704947,1801,1604,5,0,3,2,9,4,FALSE,1810,4,1,3,2,6,3,1595
2021-12-18,Algeria,Tunisia,2,0,0.667418421873223,0.332581578126777,1781,1660,5,0,3,2,11,4,FALSE,1801,4,1,3,2,9,4,1640
2021-12-11,Algeria,Morocco,2,2,0.489927553072562,0.510072446927438,1759,1766,5,0,2,3,13,3,FALSE,1759,5,0,0,5,15,0,1766
2021-12-07,Algeria,Egypt,1,1,0.659707994144748,0.340292005855252,1765,1650,5,0,1,4,16,2,FALSE,1759,5,0,2,3,13,3,1656
2021-12-04,Algeria,Lebanon,2,0,0.903218404295181,0.0967815957048192,1759,1371,5,0,2,3,20,3,FALSE,1765,2,3,4,1,4,6,1365
