year,date,team,opponent,GF,GA,pre_rating_team,pre_rating_opponent,did_score,fail_to_score,did_receive_goal,not_receive_goal_team,GF_last_5,GA_last_5_team,qatar,result,magic_johnson_team,rating,GA_last_5_opponent,not_receive_goal_opponent,magic_johnson_opponent
2022,2022-06-14,Afghanistan,Cambodia,2,2,1108,847,4,1,4,1,4,7,FALSE,D,0.817937631058116,1089,10,1,0.182062368941884
2022,2022-06-11,Afghanistan,India,1,2,1118,1198,4,1,4,1,4,7,FALSE,L,0.386863179846857,1108,7,2,0.613136820153143
2022,2022-06-08,Afghanistan,Hong Kong,1,2,1138,1144,4,1,4,1,4,6,FALSE,L,0.491366164178917,1118,10,1,0.508633835821083
2022,2022-06-01,Afghanistan,Vietnam,0,2,1142,1370,5,0,4,1,5,5,FALSE,L,0.212073231922598,1138,7,1,0.787926768077402
2021,2021-11-16,Afghanistan,Indonesia,1,0,1132,1126,5,0,5,0,7,7,FALSE,W,0.508633835821083,1142,12,1,0.491366164178917
2021,2021-06-15,Afghanistan,India,1,1,1128,1198,5,0,5,0,8,8,FALSE,D,0.400603203290743,1132,8,2,0.599396796709257
2021,2021-06-11,Afghanistan,Oman,1,2,1132,1494,4,1,5,0,7,8,FALSE,L,0.110677486289053,1128,3,2,0.889322513710947
2021,2021-06-03,Afghanistan,Bangladesh,1,1,1146,840,3,2,4,1,6,7,FALSE,D,0.853394622111882,1132,7,3,0.146605377888118
2021,2021-05-29,Afghanistan,Singapore,1,1,1146,1080,3,2,4,1,7,7,FALSE,D,0.593855385236178,1146,6,1,0.406144614763822
2021,2021-05-25,Afghanistan,Indonesia,3,2,1149,1199,2,3,3,2,4,5,FALSE,W,0.428536882591619,1146,7,1,0.571463117408381
2018,2018-12-28,Afghanistan,Turkmenistan,2,2,1146,1249,2,3,3,2,5,6,FALSE,D,0.355966146177707,1149,7,1,0.644033853822293
2018,2018-12-25,Afghanistan,Turkmenistan,0,2,1158,1237,3,2,3,2,6,8,FALSE,L,0.388229499218936,1146,9,0,0.611770500781064
2018,2018-08-19,Afghanistan,Palestine,0,0,1155,1376,3,2,4,1,6,10,FALSE,D,0.218884597270038,1158,6,2,0.781115402729962
2018,2018-03-27,Afghanistan,Cambodia,2,1,,823,2,3,4,1,4,10,FALSE,W,,1155,11,1,
2022,2022-11-19,Albania,Armenia,2,0,1535,1460,4,1,5,0,4,8,FALSE,W,0.606287823785428,1559,17,0,0.393712176214572
2022,2022-11-16,Albania,Italy,1,3,1538,1993,3,2,4,1,3,5,FALSE,L,0.0679135152972565,1535,6,3,0.932086484702744
2022,2022-11-09,Albania,Qatar,0,1,1544,1674,4,1,4,1,4,6,FALSE,L,0.321183080205243,1538,4,2,0.678816919794757
2022,2022-10-26,Albania,Saudi Arabia,1,1,1541,1640,4,1,4,1,4,6,FALSE,D,0.361262250888275,1544,2,3,0.638737749111725
2022,2022-09-27,Albania,Iceland,1,1,1546,1561,3,2,3,2,3,5,FALSE,D,0.478426666948855,1541,5,2,0.521573333051146
2022,2022-09-24,Albania,Israel,1,2,1556,1640,3,2,3,2,3,5,FALSE,L,0.381415877910969,1546,9,0,0.618584122089031
2022,2022-06-13,Albania,Estonia,0,0,1562,1405,4,1,3,2,4,5,FALSE,D,0.711722524342755,1556,8,2,0.288277475657245
2022,2022-06-10,Albania,Israel,1,2,1586,1616,3,2,3,2,3,8,FALSE,L,0.456933507977788,1562,12,0,0.543066492022212
2022,2022-06-06,Albania,Iceland,1,1,1582,1551,2,3,3,2,2,8,FALSE,D,0.544494573083008,1586,14,0,0.455505426916992
2022,2022-03-29,Albania,Georgia,0,0,1585,1563,3,2,3,2,3,8,FALSE,D,0.531618297828107,1582,3,3,0.468381702171893
2022,2022-03-26,Albania,Spain,1,2,1586,2037,3,2,2,3,7,6,FALSE,L,0.0693856624817454,1585,3,3,0.930614337518255
2021,2021-11-15,Albania,Andorra,1,0,1585,1057,3,2,2,3,7,6,FALSE,W,0.954323218960338,1586,15,1,0.0456767810396624
2021,2021-11-12,Albania,England,0,5,1588,2029,4,1,2,3,8,5,FALSE,L,0.0731960860722064,1585,2,3,0.926803913927794
2021,2021-10-12,Albania,Poland,0,1,1604,1783,5,0,2,3,9,7,FALSE,L,0.263005239459311,1588,6,1,0.736994760540689
2021,2021-10-09,Albania,Hungary,1,0,1572,1710,4,1,2,3,8,7,FALSE,W,0.311226431331287,1604,9,0,0.688773568668713
2021,2021-09-08,Albania,San Marino,5,0,1571,818,4,1,2,3,5,7,FALSE,W,0.987062667899923,1572,22,0,0.0129373321000772
2021,2021-09-05,Albania,Hungary,1,0,1546,1735,3,2,3,2,4,9,FALSE,W,0.252000458803946,1571,10,1,0.747999541196054
2021,2021-09-02,Albania,Poland,1,4,1556,1762,3,2,2,3,4,5,FALSE,L,0.234005329233511,1546,9,0,0.765994670766489
2021,2021-06-08,Albania,Czechia,1,3,1560,1764,3,2,2,3,6,4,FALSE,L,0.236075300855161,1556,8,1,0.763924699144839
2021,2021-06-05,Albania,Wales,0,0,1552,1841,4,1,3,2,9,5,FALSE,D,0.159276957338385,1560,7,2,0.840723042661615
2021,2021-03-31,Albania,San Marino,2,0,1550,830,4,1,4,1,9,6,FALSE,W,0.98439833775817,1552,11,2,0.0156016622418296
2021,2021-03-28,Albania,England,0,2,1559,1962,4,1,3,2,9,4,FALSE,L,0.0894919159507723,1550,3,3,0.910508084049228
2021,2021-03-25,Albania,Andorra,1,0,1556,1035,3,2,3,2,8,4,FALSE,W,0.952534223667663,1559,17,1,0.0474657763323368
2020,2020-11-18,Albania,Belarus,3,2,1543,1510,2,3,3,2,5,3,FALSE,W,0.547348518045865,1556,8,2,0.452651481954135
2020,2020-11-15,Albania,Kazakhstan,3,1,1532,1371,2,3,2,3,4,2,FALSE,W,0.716423694102939,1543,4,3,0.283576305897061
2020,2020-11-11,Albania,Kosovo,2,1,1525,1502,2,3,1,4,3,1,FALSE,W,0.533051393884441,1532,6,1,0.466948606115559
2020,2020-10-14,Albania,Lithuania,0,0,1530,1346,2,3,2,3,3,5,FALSE,D,0.74253555894307,1525,9,1,0.25746444105693
2020,2020-10-11,Albania,Kazakhstan,0,0,1533,1375,2,3,3,2,3,7,FALSE,D,0.712902157405454,1530,5,2,0.287097842594546
2020,2020-09-07,Albania,Lithuania,0,1,1569,1285,2,3,2,3,3,6,FALSE,L,0.836830966002895,1533,15,0,0.163169033997105
2020,2020-09-04,Albania,Belarus,2,0,1515,1520,1,4,3,2,1,8,FALSE,W,0.492804918290949,1569,0,5,0.507195081709051
2018,2018-11-20,Albania,Wales,1,0,1500,1775,1,4,3,2,1,8,FALSE,W,0.170367176568657,1515,9,1,0.829632823431343
2018,2018-11-17,Albania,Scotland,0,4,1532,1682,2,3,3,2,2,8,FALSE,L,0.296614996528171,1500,10,1,0.703385003471829
2018,2018-10-14,Albania,Israel,0,2,1555,1532,2,3,3,2,2,9,FALSE,L,0.533051393884441,1532,8,0,0.466948606115559
2018,2018-10-10,Albania,Jordan,0,0,1560,1461,2,3,4,1,2,10,FALSE,D,0.638737749111725,1555,2,3,0.361262250888275
2018,2018-09-10,Albania,Scotland,0,2,1573,1703,3,2,4,1,5,10,FALSE,L,0.321183080205243,1560,8,1,0.678816919794757
2018,2018-09-07,Albania,Israel,1,0,1560,1526,2,3,5,0,4,11,FALSE,W,0.548774335859742,1573,5,1,0.451225664140258
2018,2018-06-03,Albania,Ukraine,1,4,1570,1741,1,4,5,0,3,10,FALSE,L,0.272028486455804,1560,5,1,0.727971513544196
2018,2018-05-29,Albania,Kosovo,0,3,1596,1404,2,3,5,0,4,8,FALSE,L,0.751240793533711,1570,7,2,0.248759206466289
2018,2018-03-26,Albania,Norway,0,1,,1601,3,2,4,1,6,7,FALSE,L,,1596,4,2,
2022,2022-11-19,Algeria,Sweden,0,2,1717,1748,5,0,3,2,8,3,FALSE,L,0.455505426916992,1690,10,0,0.544494573083008
2022,2022-11-16,Algeria,Mali,1,1,1722,1615,5,0,2,3,9,2,FALSE,D,0.649294947110963,1717,1,4,0.350705052889036
2022,2022-09-27,Algeria,Nigeria,2,1,1717,1645,5,0,2,3,8,3,FALSE,W,0.602158093174717,1722,5,1,0.397841906825283
2022,2022-09-23,Algeria,Guinea,1,0,1715,1393,5,0,2,3,8,3,FALSE,W,0.864547005411304,1717,4,2,0.135452994588696
2022,2022-06-12,Algeria,IR Iran,2,1,1702,1820,5,0,2,3,7,5,FALSE,W,0.336425901958705,1715,2,4,0.663574098041296
2022,2022-06-08,Algeria,Tanzania,2,0,1692,1316,4,1,3,2,5,6,FALSE,W,0.897009526377273,1702,6,0,0.102990473622727
2022,2022-06-04,Algeria,Uganda,2,0,1685,1433,3,2,3,2,3,6,FALSE,W,0.810095158604757,1692,11,0,0.189904841395243
2022,2022-03-29,Algeria,Cameroon,1,2,1716,1600,3,2,2,3,5,4,FALSE,L,0.660999091246358,1685,5,2,0.339000908753642
2022,2022-03-25,Algeria,Cameroon,1,0,1695,1621,3,2,2,3,6,4,FALSE,W,0.604912902007957,1716,5,2,0.395087097992043
2022,2022-01-20,Algeria,Ivory Coast,1,3,1743,1642,3,2,2,3,7,2,FALSE,L,0.641390111955618,1695,4,2,0.358609888044382
2022,2022-01-16,Algeria,Equatorial Guinea,0,1,1788,1419,4,1,2,3,9,3,FALSE,L,0.893226912825791,1743,3,2,0.106773087174209
2022,2022-01-11,Algeria,Sierra Leone,0,0,1810,1339,5,0,3,2,10,4,FALSE,D,0.937689793726165,1788,4,2,0.062310206273835
2022,2022-01-05,Algeria,Ghana,3,0,1801,1604,5,0,3,2,9,4,FALSE,W,0.756580594295053,1810,3,2,0.243419405704947
2021,2021-12-18,Algeria,Tunisia,2,0,1781,1660,5,0,3,2,11,4,FALSE,W,0.667418421873223,1801,4,2,0.332581578126777
2021,2021-12-15,Algeria,Qatar,2,1,1759,1691,5,0,3,2,11,5,FALSE,W,0.596629173305774,1781,3,3,0.403370826694226
2021,2021-12-11,Algeria,Morocco,2,2,1759,1766,5,0,2,3,13,3,FALSE,D,0.489927553072562,1759,0,5,0.510072446927438
2021,2021-12-07,Algeria,Egypt,1,1,1765,1650,5,0,1,4,16,2,FALSE,D,0.659707994144748,1759,3,3,0.340292005855252
2021,2021-12-04,Algeria,Lebanon,2,0,1759,1371,5,0,2,3,20,3,FALSE,W,0.903218404295181,1765,6,1,0.0967815957048192
2021,2021-12-01,Algeria,Sudan,4,0,1752,1359,5,0,3,2,17,4,FALSE,W,0.905705373543237,1759,10,1,0.0942946264567625
2021,2021-11-16,Algeria,Burkina Faso,2,2,1766,1556,5,0,2,3,23,2,FALSE,D,0.770096676660982,1752,2,3,0.229903323339018
2021,2021-11-12,Algeria,Djibouti,4,0,1766,894,5,0,2,3,22,2,FALSE,W,0.993436430592952,1766,19,0,0.00656356940704816
2021,2021-10-12,Algeria,Niger,4,0,1760,1234,5,0,3,2,20,3,FALSE,W,0.953818732599141,1766,14,0,0.0461812674008591
2021,2021-10-08,Algeria,Niger,6,1,1758,1236,5,0,3,2,19,3,FALSE,W,0.952793812385593,1760,10,0,0.0472061876144066
2021,2021-09-07,Algeria,Burkina Faso,1,1,1769,1557,5,0,2,3,20,2,FALSE,D,0.772128673468584,1758,3,3,0.227871326531416
