date,team,opponent,GF_wc,GA_wc,result_wc,rating_team,rating_opponent,rating_dif,GF_walle,GA_walle,result_walle,hit,hit_score,performance,probability,usuario
2022-11-20,Ecuador ,Qatar ,2,0,W,1833,1680,153,1,1,D,FALSE,FALSE,Missed,0,rigelbarros
2022-11-21,England ,IR Iran ,6,2,W,1920,1797,123,2,0,W,TRUE,FALSE,Hit result,0,rigelbarros
2022-11-21,Netherlands ,Senegal ,2,0,W,2040,1687,353,1,0,W,TRUE,FALSE,Hit result,0,rigelbarros
2022-11-21,United States ,Wales ,1,1,D,1798,1790,8,1,1,D,TRUE,TRUE,Hit score,0,rigelbarros
2022-11-22,Australia ,France ,1,4,L,1719,2005,286,0,1,L,TRUE,FALSE,Hit result,0,rigelbarros
2022-11-22,Mexico ,Poland ,0,0,D,1809,1814,5,1,1,D,TRUE,FALSE,Hit result,0,rigelbarros
2022-11-22,Argentina ,Saudi Arabia ,1,2,L,2143,1635,508,3,0,W,FALSE,FALSE,Missed,0,rigelbarros
2022-11-22,Denmark ,Tunisia ,0,0,D,1971,1707,264,2,0,W,FALSE,FALSE,Missed,0,rigelbarros
2022-11-23,Belgium ,Canada ,1,0,W,2007,1776,231,2,1,W,TRUE,FALSE,Hit result,0,rigelbarros
2022-11-23,Costa Rica ,Spain ,0,7,L,1743,2048,305,1,2,L,TRUE,FALSE,Hit result,0,rigelbarros
2022-11-23,Croatia ,Morocco ,0,0,D,1927,1766,161,1,0,W,FALSE,FALSE,Missed,0,rigelbarros
2022-11-23,Germany ,Japan ,1,2,L,1963,1787,176,2,0,W,FALSE,FALSE,Missed,0,rigelbarros
2022-11-24,Cameroon ,Switzerland ,0,1,L,1610,1902,292,1,1,D,FALSE,FALSE,Missed,0,rigelbarros
2022-11-24,Ghana ,Portugal ,2,3,L,1567,2006,439,1,1,D,FALSE,FALSE,Missed,0,rigelbarros
2022-11-24,Korea Republic ,Uruguay ,0,0,D,1786,1936,150,0,1,L,FALSE,FALSE,Missed,0,rigelbarros
2022-11-24,Brazil ,Serbia ,2,0,W,2169,1898,271,3,0,W,TRUE,FALSE,Hit result,0,rigelbarros
2022-11-25,Ecuador ,Netherlands ,1,1,D,1851,2047,196,0,2,L,FALSE,FALSE,Missed,0,rigelbarros
