date,team,rating,as_of
2022-06-14,Afghanistan,1095,2022-11-23
2022-06-11,Afghanistan,1108,2022-11-23
2022-06-08,Afghanistan,1118,2022-11-23
2022-06-01,Afghanistan,1138,2022-11-23
2021-11-16,Afghanistan,1142,2022-11-23
2021-06-15,Afghanistan,1132,2022-11-23
2021-06-11,Afghanistan,1128,2022-11-23
2021-06-03,Afghanistan,1132,2022-11-23
2021-05-29,Afghanistan,1146,2022-11-23
2021-05-25,Afghanistan,1146,2022-11-23
2018-12-28,Afghanistan,1149,2022-11-23
2018-12-25,Afghanistan,1146,2022-11-23
2018-08-19,Afghanistan,1158,2022-11-23
2018-03-27,Afghanistan,1155,2022-11-23
2017-11-14,Afghanistan,1150,2022-11-23
2017-10-10,Afghanistan,1138,2022-11-23
2017-09-05,Afghanistan,1122,2022-11-23
2017-08-30,Afghanistan,1126,2022-11-23
2017-06-13,Afghanistan,1128,2022-11-23
2017-06-06,Afghanistan,1161,2022-11-23
2017-03-28,Afghanistan,1156,2022-11-23
2017-03-23,Afghanistan,1149,2022-11-23
2022-11-19,Albania,1543,2022-11-23
2022-11-16,Albania,1535,2022-11-23
2022-11-09,Albania,1538,2022-11-23
2022-10-26,Albania,1544,2022-11-23
2022-09-27,Albania,1541,2022-11-23
2022-09-24,Albania,1546,2022-11-23
2022-06-13,Albania,1556,2022-11-23
2022-06-10,Albania,1562,2022-11-23
2022-06-06,Albania,1586,2022-11-23
2022-03-29,Albania,1582,2022-11-23
2022-03-26,Albania,1585,2022-11-23
2021-11-15,Albania,1586,2022-11-23
2021-11-12,Albania,1585,2022-11-23
2021-10-12,Albania,1588,2022-11-23
2021-10-09,Albania,1604,2022-11-23
2021-09-08,Albania,1572,2022-11-23
2021-09-05,Albania,1571,2022-11-23
2021-09-02,Albania,1546,2022-11-23
2021-06-08,Albania,1556,2022-11-23
2021-06-05,Albania,1560,2022-11-23
2021-03-31,Albania,1552,2022-11-23
2021-03-28,Albania,1550,2022-11-23
2021-03-25,Albania,1559,2022-11-23
2020-11-18,Albania,1556,2022-11-23
2020-11-15,Albania,1543,2022-11-23
2020-11-11,Albania,1532,2022-11-23
2020-10-14,Albania,1525,2022-11-23
2020-10-11,Albania,1530,2022-11-23
2020-09-07,Albania,1533,2022-11-23
2020-09-04,Albania,1569,2022-11-23
2018-11-20,Albania,1515,2022-11-23
2018-11-17,Albania,1500,2022-11-23
2018-10-14,Albania,1532,2022-11-23
2018-10-10,Albania,1555,2022-11-23
2018-09-10,Albania,1560,2022-11-23
2018-09-07,Albania,1573,2022-11-23
2018-06-03,Albania,1560,2022-11-23
2018-05-29,Albania,1570,2022-11-23
2018-03-26,Albania,1596,2022-11-23
2017-11-13,Albania,1609,2022-11-23
2017-10-09,Albania,1593,2022-11-23
2017-10-06,Albania,1601,2022-11-23
2017-09-05,Albania,1604,2022-11-23
2017-09-02,Albania,1605,2022-11-23
2017-06-11,Albania,1602,2022-11-23
2017-06-04,Albania,1552,2022-11-23
2017-03-28,Albania,1568,2022-11-23
2017-03-24,Albania,1576,2022-11-23
2022-11-19,Algeria,1707,2022-11-23
2022-11-16,Algeria,1717,2022-11-23
2022-09-27,Algeria,1722,2022-11-23
2022-09-23,Algeria,1717,2022-11-23
2022-06-12,Algeria,1715,2022-11-23
2022-06-08,Algeria,1702,2022-11-23
2022-06-04,Algeria,1692,2022-11-23
2022-03-29,Algeria,1685,2022-11-23
2022-03-25,Algeria,1716,2022-11-23
2022-01-20,Algeria,1695,2022-11-23
2022-01-16,Algeria,1743,2022-11-23
2022-01-11,Algeria,1788,2022-11-23
2022-01-05,Algeria,1810,2022-11-23
2021-12-18,Algeria,1801,2022-11-23
