date,team,opponent,GF,GA,did_score_team,fail_to_score_team,did_receive_goal_team,not_receive_goal_team,GF_last_5_team,GA_last_5_team,pre_rating_team,pre_rating_opponent,qatar,magic_johnson_team,rating_team,did_score_opponent,fail_to_score_opponent,did_receive_goal_opponent,not_receive_goal_opponent,GF_last_5_opponent,GA_last_5_opponent,magic_johnson_opponent,rating_opponent
2022-06-14,Afghanistan,Cambodia,2,2,4,1,4,1,4,7,1095,848,FALSE,0.80562769404365,1077,2,3,4,1,5,10,0.19437230595635,866
2021-11-16,Afghanistan,Indonesia,1,0,5,0,5,0,7,7,1134,1124,FALSE,0.514387184165999,1163,3,2,4,1,7,12,0.485612815834001,1095
2021-06-15,Afghanistan,India,1,1,5,0,5,0,8,8,1125,1198,FALSE,0.396463681473822,1131,2,3,3,2,3,8,0.603536318526178,1192
2021-06-03,Afghanistan,Bangladesh,1,1,3,2,4,1,6,7,1140,823,FALSE,0.861140935657043,1118,2,3,2,3,3,7,0.138859064342957,845
2021-05-29,Afghanistan,Singapore,1,1,3,2,4,1,7,7,1183,1078,FALSE,0.646668842325615,1174,3,2,4,1,9,6,0.353331157674385,1087
2021-05-25,Afghanistan,Indonesia,3,2,2,3,3,2,4,5,1155,1205,FALSE,0.428536882591619,1189,3,2,4,1,6,7,0.571463117408381,1171
2018-12-28,Afghanistan,Turkmenistan,2,2,2,3,3,2,5,6,1135,1260,FALSE,0.327490356665015,1145,4,1,4,1,7,7,0.672509643334985,1250
2018-08-19,Afghanistan,Palestine,0,0,3,2,4,1,6,10,1158,1373,FALSE,0.224847134350316,1175,0,5,3,2,0,6,0.775152865649684,1356
2022-11-19,Albania,Armenia,2,0,4,1,5,0,4,8,1534,1461,FALSE,0.603536318526178,1558,3,2,5,0,5,17,0.396463681473822,1437
2022-11-16,Albania,Italy,1,3,3,2,4,1,3,5,1525,1985,FALSE,0.0661140613371956,1521,4,1,2,3,7,6,0.933885938662804,1989
2022-10-26,Albania,Saudi Arabia,1,1,4,1,4,1,4,6,1547,1656,FALSE,0.348087960125336,1556,1,4,2,3,1,2,0.651912039874664,1647
2022-09-27,Albania,Iceland,1,1,3,2,3,2,3,5,1533,1588,FALSE,0.421503247655257,1538,5,0,3,2,7,5,0.578496752344743,1583
2022-06-13,Albania,Estonia,0,0,4,1,3,2,4,5,1559,1406,FALSE,0.706975294808541,1547,2,3,3,2,4,8,0.293024705191459,1418
2022-06-10,Albania,Israel,1,2,3,2,3,2,3,8,1579,1619,FALSE,0.442688366237707,1552,4,1,5,0,9,12,0.557311633762293,1646
2022-03-29,Albania,Georgia,0,0,3,2,3,2,3,8,1582,1583,FALSE,0.498560888290847,1582,4,1,2,3,6,3,0.501439111709153,1583
2021-11-15,Albania,Andorra,1,0,3,2,2,3,7,6,1584,1058,FALSE,0.953818732599141,1587,3,2,4,1,5,15,0.0461812674008591,1055
2021-10-12,Albania,Poland,0,1,5,0,2,3,9,7,1613,1783,FALSE,0.273169927723269,1597,5,0,4,1,19,6,0.726830072276731,1799
2021-09-08,Albania,San Marino,5,0,4,1,2,3,5,7,1591,819,FALSE,0.988387459900302,1592,2,3,5,0,2,22,0.0116125400996976,818
2021-09-05,Albania,Hungary,1,0,3,2,3,2,4,9,1542,1745,FALSE,0.237115019694746,1588,2,3,4,1,3,10,0.762884980305254,1699
2021-03-28,Albania,England,0,2,4,1,3,2,9,4,1559,1962,FALSE,0.0894919159507723,1554,3,2,2,3,12,3,0.910508084049228,1967
2020-11-18,Albania,Belarus,3,2,2,3,3,2,5,3,1549,1516,FALSE,0.547348518045865,1576,4,1,3,2,9,8,0.452651481954135,1489
2020-11-15,Albania,Kazakhstan,3,1,2,3,2,3,4,2,1553,1378,FALSE,0.732507289755668,1569,2,3,2,3,3,4,0.267492710244332,1362
2020-11-11,Albania,Kosovo,2,1,2,3,1,4,3,1,1515,1502,FALSE,0.518699777929559,1544,3,2,4,1,3,6,0.481300222070441,1473
2020-09-07,Albania,Lithuania,0,1,2,3,2,3,3,6,1545,1307,FALSE,0.797386314027704,1497,3,2,5,0,3,15,0.202613685972296,1355
2018-11-20,Albania,Wales,1,0,1,4,3,2,1,8,1514,1773,FALSE,0.183783103424397,1563,4,1,4,1,7,9,0.816216896575603,1724
2018-11-17,Albania,Scotland,0,4,2,3,3,2,2,8,1523,1680,FALSE,0.288277475657245,1506,3,2,4,1,4,10,0.711722524342755,1697
2018-10-10,Albania,Jordan,0,0,2,3,4,1,2,10,1554,1468,FALSE,0.621296723122455,1547,3,2,2,3,5,2,0.378703276877545,1475
2018-09-07,Albania,Israel,1,0,2,3,5,0,4,11,1554,1516,FALSE,0.554469374021676,1581,2,3,4,1,2,5,0.445530625978324,1489
2022-11-16,Algeria,Mali,1,1,5,0,2,3,9,2,1741,1608,FALSE,0.682570385474772,1730,3,2,1,4,8,1,0.317429614525228,1619
2022-09-27,Algeria,Nigeria,2,1,5,0,2,3,8,3,1723,1643,FALSE,0.613136820153143,1746,4,1,4,1,14,5,0.386863179846857,1620
2022-09-23,Algeria,Guinea,1,0,5,0,2,3,8,3,1742,1406,FALSE,0.873710420945081,1750,2,3,3,2,2,4,0.126289579054919,1398
2022-06-12,Algeria,IR Iran,2,1,5,0,2,3,7,5,1698,1822,FALSE,0.328759419184168,1738,4,1,1,4,7,2,0.671240580815832,1782
2022-06-04,Algeria,Uganda,2,0,3,2,3,2,3,6,1676,1422,FALSE,0.811859998333787,1687,4,1,5,0,7,11,0.188140001666213,1411
2022-03-29,Algeria,Cameroon,1,2,3,2,2,3,5,4,1719,1597,FALSE,0.668694956307332,1679,3,2,3,2,7,5,0.331305043692668,1637
2022-01-11,Algeria,Sierra Leone,0,0,5,0,3,2,10,4,1816,1319,FALSE,0.945882563089522,1789,3,2,3,2,4,4,0.0541174369104776,1346
2022-01-05,Algeria,Ghana,3,0,5,0,3,2,9,4,1801,1619,FALSE,0.74032841951483,1817,4,1,3,2,6,3,0.25967158048517,1603
2021-12-18,Algeria,Tunisia,2,0,5,0,3,2,11,4,1783,1671,FALSE,0.655820505912395,1804,4,1,3,2,9,4,0.344179494087605,1650
2021-12-11,Algeria,Morocco,2,2,5,0,2,3,13,3,1755,1773,FALSE,0.474119069108831,1757,5,0,0,5,15,0,0.525880930891169,1771
2021-12-07,Algeria,Egypt,1,1,5,0,1,4,16,2,1765,1647,FALSE,0.663574098041296,1755,5,0,2,3,13,3,0.336425901958705,1657
2021-12-04,Algeria,Lebanon,2,0,5,0,2,3,20,3,1758,1367,FALSE,0.904717530282182,1764,2,3,4,1,4,6,0.0952824697178176,1361
2021-12-01,Algeria,Sudan,4,0,5,0,3,2,17,4,1750,1360,FALSE,0.904220144369614,1756,3,2,4,1,5,10,0.095779855630386,1354
2021-11-16,Algeria,Burkina Faso,2,2,5,0,2,3,23,2,1766,1548,FALSE,0.778148454219133,1749,5,0,2,3,10,2,0.221851545780868,1565
2021-11-12,Algeria,Djibouti,4,0,5,0,2,3,22,2,1763,894,FALSE,0.993322860792818,1763,1,4,5,0,2,19,0.0066771392071824,894
2021-10-08,Algeria,Niger,6,1,5,0,3,2,19,3,1753,1236,FALSE,0.951482245903381,1756,3,2,5,0,7,10,0.0485177540966194,1233
2021-09-02,Algeria,Djibouti,8,0,5,0,2,3,13,2,1770,904,FALSE,0.993207339324704,1770,2,3,3,2,3,8,0.00679266067529564,904
2021-08-29,Algeria,Burundi,3,0,5,0,3,2,14,3,1772,1248,FALSE,0.953308946947088,1775,4,1,4,1,7,5,0.0466910530529121,1245
2021-08-26,Algeria,Syria,2,1,5,0,2,3,17,2,1767,1448,FALSE,0.862511903991311,1775,4,1,3,2,9,9,0.137488096008689,1440
2021-06-17,Algeria,Liberia,5,1,5,0,2,3,15,4,1769,1380,FALSE,0.90372043835198,1775,4,1,2,3,6,2,0.0962795616480201,1374
