date,year,team,opponent,GF,GA,did_score,fail_to_score,did_receive_goal,not_receive_goal_team,GF_last_5,GA_last_5_team,pre_rating_team,pre_rating_opponent,qatar,result,magic_johnson_team,rating,GA_last_5_opponent,not_receive_goal_opponent,magic_johnson_opponent
2022-06-14,2022,Afghanistan,Cambodia,2,2,4,1,4,1,4,7,1095,848,FALSE,D,0.80562769404365,1077,10,1,0.19437230595635
2022-06-11,2022,Afghanistan,India,1,2,4,1,4,1,4,7,1109,1201,FALSE,L,0.370611452782498,1087,7,2,0.629388547217502
2022-06-08,2022,Afghanistan,Hong Kong,1,2,4,1,4,1,4,6,1129,1125,FALSE,L,0.505756208411145,1099,10,1,0.494243791588855
2022-06-01,2022,Afghanistan,Vietnam,0,2,5,0,4,1,5,5,1161,1378,FALSE,L,0.222846894685274,1148,7,1,0.777153105314726
2021-11-16,2021,Afghanistan,Indonesia,1,0,5,0,5,0,7,7,1134,1124,FALSE,W,0.514387184165999,1163,12,1,0.485612815834001
2021-06-15,2021,Afghanistan,India,1,1,5,0,5,0,8,8,1125,1198,FALSE,D,0.396463681473822,1131,8,2,0.603536318526178
2021-06-11,2021,Afghanistan,Oman,1,2,4,1,5,0,7,8,1125,1484,FALSE,L,0.112388740140145,1118,3,2,0.887611259859854
2021-06-03,2021,Afghanistan,Bangladesh,1,1,3,2,4,1,6,7,1140,823,FALSE,D,0.861140935657043,1118,7,3,0.138859064342957
2021-05-29,2021,Afghanistan,Singapore,1,1,3,2,4,1,7,7,1183,1078,FALSE,D,0.646668842325615,1174,6,1,0.353331157674385
2021-05-25,2021,Afghanistan,Indonesia,3,2,2,3,3,2,4,5,1155,1205,FALSE,W,0.428536882591619,1189,7,1,0.571463117408381
2018-12-28,2018,Afghanistan,Turkmenistan,2,2,2,3,3,2,5,6,1135,1260,FALSE,D,0.327490356665015,1145,7,1,0.672509643334985
2018-12-25,2018,Afghanistan,Turkmenistan,0,2,3,2,3,2,6,8,1172,1234,FALSE,L,0.411710028136837,1147,9,0,0.588289971863163
2018-08-19,2018,Afghanistan,Palestine,0,0,3,2,4,1,6,10,1158,1373,FALSE,D,0.224847134350316,1175,6,2,0.775152865649684
2018-03-27,2018,Afghanistan,Cambodia,2,1,2,3,4,1,4,10,,839,FALSE,W,,,11,1,
2022-11-19,2022,Albania,Armenia,2,0,4,1,5,0,4,8,1534,1461,FALSE,W,0.603536318526178,1558,17,0,0.396463681473822
2022-11-16,2022,Albania,Italy,1,3,3,2,4,1,3,5,1525,1985,FALSE,L,0.0661140613371956,1521,6,3,0.933885938662804
2022-11-09,2022,Albania,Qatar,0,1,4,1,4,1,4,6,1549,1693,FALSE,L,0.3038712295704,1531,4,2,0.6961287704296
2022-10-26,2022,Albania,Saudi Arabia,1,1,4,1,4,1,4,6,1547,1656,FALSE,D,0.348087960125336,1556,2,3,0.651912039874664
2022-09-27,2022,Albania,Iceland,1,1,3,2,3,2,3,5,1533,1588,FALSE,D,0.421503247655257,1538,5,2,0.578496752344743
2022-09-24,2022,Albania,Israel,1,2,3,2,3,2,3,5,1549,1632,FALSE,L,0.382774969095054,1526,9,0,0.617225030904946
2022-06-13,2022,Albania,Estonia,0,0,4,1,3,2,4,5,1559,1406,FALSE,D,0.706975294808541,1547,8,2,0.293024705191459
2022-06-10,2022,Albania,Israel,1,2,3,2,3,2,3,8,1579,1619,FALSE,L,0.442688366237707,1552,12,0,0.557311633762293
2022-06-06,2022,Albania,Iceland,1,1,2,3,3,2,2,8,1583,1548,FALSE,D,0.550199353253537,1580,14,0,0.449800646746463
2022-03-29,2022,Albania,Georgia,0,0,3,2,3,2,3,8,1582,1583,FALSE,D,0.498560888290847,1582,3,3,0.501439111709153
2022-03-26,2022,Albania,Spain,1,2,3,2,2,3,7,6,1588,2045,FALSE,L,0.0671883479096555,1584,3,3,0.932811652090345
2021-11-15,2021,Albania,Andorra,1,0,3,2,2,3,7,6,1584,1058,FALSE,W,0.953818732599141,1587,15,1,0.0461812674008591
2021-11-12,2021,Albania,England,0,5,4,1,2,3,8,5,1588,2022,FALSE,L,0.0759771035027655,1583,2,3,0.924022896497235
2021-10-12,2021,Albania,Poland,0,1,5,0,2,3,9,7,1613,1783,FALSE,L,0.273169927723269,1597,6,1,0.726830072276731
2021-10-09,2021,Albania,Hungary,1,0,4,1,2,3,8,7,1572,1711,FALSE,W,0.309993792719686,1613,9,0,0.690006207280314
2021-09-08,2021,Albania,San Marino,5,0,4,1,2,3,5,7,1591,819,FALSE,W,0.988387459900302,1592,22,0,0.0116125400996976
2021-09-05,2021,Albania,Hungary,1,0,3,2,3,2,4,9,1542,1745,FALSE,W,0.237115019694746,1588,10,1,0.762884980305254
2021-09-02,2021,Albania,Poland,1,4,3,2,2,3,4,5,1546,1758,FALSE,L,0.227871326531416,1532,9,0,0.772128673468584
2021-06-08,2021,Albania,Czechia,1,3,3,2,2,3,6,4,1572,1757,FALSE,L,0.256365477992672,1557,8,1,0.743634522007328
2021-06-05,2021,Albania,Wales,0,0,4,1,3,2,9,5,1551,1833,FALSE,D,0.164747167686039,1571,7,2,0.835252832313962
2021-03-31,2021,Albania,San Marino,2,0,4,1,4,1,9,6,1554,831,FALSE,W,0.984661358570979,1555,11,2,0.0153386414290214
2021-03-28,2021,Albania,England,0,2,4,1,3,2,9,4,1559,1962,FALSE,L,0.0894919159507723,1554,3,3,0.910508084049228
2021-03-25,2021,Albania,Andorra,1,0,3,2,3,2,8,4,1570,1051,FALSE,W,0.95201097198493,1573,17,1,0.0479890280150698
2020-11-18,2020,Albania,Belarus,3,2,2,3,3,2,5,3,1549,1516,FALSE,W,0.547348518045865,1576,8,2,0.452651481954135
2020-11-15,2020,Albania,Kazakhstan,3,1,2,3,2,3,4,2,1553,1378,FALSE,W,0.732507289755668,1569,4,3,0.267492710244332
2020-11-11,2020,Albania,Kosovo,2,1,2,3,1,4,3,1,1515,1502,FALSE,W,0.518699777929559,1544,6,1,0.481300222070441
2020-10-14,2020,Albania,Lithuania,0,0,2,3,2,3,3,5,1520,1355,FALSE,D,0.72107824319756,1507,9,1,0.27892175680244
2020-10-11,2020,Albania,Kazakhstan,0,0,2,3,3,2,3,7,1519,1373,FALSE,D,0.698558626418023,1507,5,2,0.301441373581977
2020-09-07,2020,Albania,Lithuania,0,1,2,3,2,3,3,6,1545,1307,FALSE,L,0.797386314027704,1497,15,0,0.202613685972296
